QL001,Nguyen,Anh,1
QL002,Tran,Minh,0
QL003,Le,Phong,1
QL004,Phan,Tuan,1
QL005,Hoang,Thu,0
QL006,Pham,Hoa,0
QL007,Do,Quan,1
QL008,Bui,Linh,0
QL009,Dang,Hung,1
QL010,Vu,Hanh,0
QL011,Nguyen,Lam,1
QL012,Tran,Huong,0
QL013,Le,Trang,0
QL014,Phan,Khang,1
QL015,Hoang,My,0
QL016,Pham,Nam,1
QL017,Do,Lan,0
QL018,Bui,Hoan,1
QL019,Dang,Phuc,1
QL020,Vu,An,0
TN001,Nguyen,Hieu,1
TN002,Tran,Thu,0
TN003,Le,Hai,1
TN004,Phan,Bao,1
TN005,Hoang,Minh,0
TN006,Pham,Duy,1
TN007,Do,Hang,0
TN008,Bui,Van,1
TN009,Dang,Linh,0
TN010,Vu,Tam,1
TN011,Nguyen,Thuy,0
TN012,Tran,Dai,1
TN013,Le,Khoa,1
TN014,Phan,Tan,1
TN015,Hoang,Nhi,0
TN016,Pham,Lam,1
TN017,Do,Thanh,1
TN018,Bui,Nam,0
TN019,Dang,Son,1
TN020,Vu,Trang,0
BH001,Nguyen,Anh,1
BH002,Tran,Thu,0
BH003,Le,Duc,1
BH004,Phan,Hoang,1
BH005,Hoang,Quynh,0
BH006,Pham,Bao,1
BH007,Do,Chi,0
BH008,Bui,Phuc,1
BH009,Dang,Tu,0
BH010,Vu,Diep,1
BH011,Nguyen,Dai,1
BH012,Tran,Lien,0
BH013,Le,Thinh,1
BH014,Phan,Thai,1
BH015,Hoang,Tam,0
BH016,Pham,Hoa,1
BH017,Do,Minh,1
BH018,Bui,Han,0
BH019,Dang,Khanh,1
BH020,Vu,Phuong,0
TV001,Nguyen,Kim,0
TV002,Tran,Phuc,1
TV003,Le,Hanh,0
TV004,Phan,Diep,1
TV005,Hoang,Dao,1
TV006,Pham,Tuan,1
TV007,Do,Thu,0
TV008,Bui,Kien,1
TV009,Dang,Trang,0
TV010,Vu,Son,1
TV011,Nguyen,Chinh,1
TV012,Tran,Tuyet,0
TV013,Le,Ngan,1
TV014,Phan,Hoa,1
TV015,Hoang,Hien,0
TV016,Pham,Thinh,1
TV017,Do,Hoa,0
TV018,Bui,Hoa,1
TV019,Dang,An,0
TV020,Vu,Quyen,1
QL021,Nguyen,Linh,1
QL022,Tran,Thinh,0
QL023,Le,Nguyen,1
QL024,Phan,Dai,1
QL025,Hoang,Bach,0
QL026,Pham,Trang,0
QL027,Do,Hanh,1
QL028,Bui,Cuong,1
QL029,Dang,My,0
QL030,Vu,Dung,1
TN021,Nguyen,Ngoc,0
TN022,Tran,Cuong,1
TN023,Le,Binh,1
TN024,Phan,Hoa,0
TN025,Hoang,Hieu,1
TN026,Pham,Nhi,0
TN027,Do,Quoc,1
TN028,Bui,Lan,1
TN029,Dang,Tu,1
TN030,Vu,Kieu,0
TV021,Nguyen,Minh,1
TV022,Tran,Duong,0
TV023,Le,Bao,1
TV024,Phan,An,1
TV025,Hoang,Thao,0
TV026,Pham,Thao,1
TV027,Do,Quan,0
TV028,Bui,Tu,1
TV029,Dang,Chien,0
TV030,Vu,Han,1
TV031,Nguyen,Lai,1
TV032,Tran,Tuan,1
TV033,Le,Tien,1
TV034,Phan,Lam,1
TV035,Hoang,Diệu,0
TV036,Pham,Quy,1
TV037,Do,Hoang,0
TV038,Bui,Hoang,1
TV039,Dang,Trang,1
TV040,Vu,Toan,0
TV041,Nguyen,Khoi,1
TV042,Tran,Hien,1
TV043,Le,Khuyen,1
TV044,Phan,Mai,1
TV045,Hoang,Sang,0
TV046,Pham,Diệu,1
TV047,Do,Trang,1
TV048,Bui,Hoa,0
TV049,Dang,Phan,1
TV050,Vu,Bao,1
TV051,Nguyen,Việt,0
TV052,Tran,Cúc,1
TV053,Le,Kien,1
TV054,Phan,Linh,0
TV055,Hoang,Lien,1
TV056,Pham,Binh,0
TV057,Do,Phong,1
TV058,Bui,Thinh,1
TV059,Dang,Hien,1
TV060,Vu,Hoa,0
TV061,Nguyen,Lam,1
TV062,Tran,Tai,1
TV063,Le,Bao,1
TV064,Phan,Huy,1
TV065,Hoang,Thu,0
TV066,Pham,Anh,1
TV067,Do,Chung,0
TV068,Bui,Chien,1
TV069,Dang,Tu,1
TV070,Vu,Lieu,1
